Designator,Mid X,Mid Y,Rotation,Layer
C1,90.5,-58.5,180.0,top
C2,102.5,-54.0,90.0,top
C3,90.75,-45.5,180.0,top
C4,101.25,-42.25,270.0,top
D1,111.0,-59.0,180.0,top
D2,105.54,-59.0,180.0,top
D3,114.5,-59.0,0.0,top
J1,82.75,-50.0,270.0,top
J2,117.0,-49.27,0.0,top
Q1,108.5,-47.0,0.0,top
Q2,108.5,-43.0,0.0,top
Q3,112.0,-54.0,180.0,top
Q4,106.0625,-54.0,180.0,top
R1,104.0,-48.0,0.0,top
R2,104.0,-44.0,0.0,top
R3,111.5,-51.0,0.0,top
R4,111.0,-57.0,0.0,top
R5,105.5,-51.0,180.0,top
R6,105.5,-57.0,0.0,top
R7,118.0,-59.0,0.0,top
U1,97.0,-56.0,180.0,top
U2,89.64,-52.0,0.0,top
U3,96.475,-46.175,270.0,top
